Attributes URL_PATH,IMAGE_PATH,IMAGE_ALT_TEXT,PHOTOCREDITS,PAGETITLE,LASTMODIFIED,LATITUDE,LONGTITUDE,ADDRESS,POSTALCODE,OVERVIEW,EXTERNAL_LINK,META_DESCRIPTION,OPENING_HOURS,INC_CRC,last_updated,longitude,latitude
www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/national-gallery-singapore.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/1095-national-gallery-singapore-carousel-01-rec.jpg,,Â©Darren Soh/National Gallery,National Gallery Singapore,2015-10-23T18:03:40.939+08:00,1.29,103.851356,1 St Andrew's Road,,Take in the regionâ€™s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singaporeâ€™s awe-inspiring national monuments.,http://www.nationalgallery.sg,Take in the regionâ€™s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singaporeâ€™s awe-inspiring national monuments.,"Effective from 24 November 2015, Sunday to Thursday and public holidays,10am - 7pm ,Friday to Saturday and eve of public holidays, 10am - 10pm",8A41138FE0684CA7,2018-06-19 17:52:43,103.851355999735,1.29000000002855
www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sultan-mosque.html,,,,Sultan Mosque (Masjid Sultan) Singapore,2015-11-02T10:27:45.190+08:00,1.302,103.859171,3 Muscat Street,,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singaporeâ€™s Muslim community.",http://www.sultanmosque.org.sg,The impressive Sultan Mosque (also known as Masjid Sultan) in historic Kampong Glam is the focal point for Singaporeâ€™s Muslim community.,"Monday to Sunday:9.30am â€“ 12pm and 2pm â€“ 4pm ,Friday:2.30pm â€“ 4pm",A3218DB77F17BFC6,2018-06-19 17:52:43,103.859171000287,1.3020000004261
www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sri-mariamman-temple.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg,Sri Mariamman Temple's ornate and elaborate detailing makes it a wonder to behold.,Joel Chua DY,Sri Mariamman Temple: Hindu Temple in Singapore,2015-11-02T10:31:58.848+08:00,1.282,103.84538,244 South Bridge Road,,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx,"Sri Mariamman Temple, located in Chinatown, is the oldest Hindu temple in Singapore.","Daily from 7am â€“ 12pm, and 6pm â€“ 9pm",F66A0BB9C79777F1,2018-06-19 17:52:43,103.845380000189,1.28200000029374
www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/armenian-church.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/armenian-church-carousel01-rect.jpg,The Armenian Church in Singapore is a 19th-century architectural masterpiece.,Joel Chua DY,Armenian Church in Singapore,2015-11-02T10:34:55.710+08:00,1.293,103.84966,60 Hill Street,,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.,http://www.armeniansinasia.org/,The Armenian Church is the oldest Christian church in Singapore and an architectural masterpiece from the early 19th century.,"Daily, 9am â€“6pm",4C9C762C0E30783B,2018-06-19 17:52:43,103.849660000324,1.29300000039531
www.yoursingapore.com/en/see-do-singapore/architecture/historical/chijmes.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/chijmes-carousel01-rect.jpg,"The charm of CHIJMES, Singapore harks back to a bygone, gracious age.",,CHIJMES Singapore,2015-11-02T10:13:35.220+08:00,1.295,103.85168,30 Victoria Street,,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.",http://chijmes.com.sg/,"Who would have thought a former school would make such a graceful transition? As a lifestyle and entertainment complex, CHIJMES soars high above the rest.","Daily, 24 hours,Opening hours of businesses in CHIJMES may vary.",5A0FF621153ABB8F,2018-06-19 17:52:43,103.851680000243,1.29500000011955
www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/st-andrews-cathedral.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/st-andrews-cathedral-temple-carousel01-rect-norender.jpg,Singapore's largest cathedral is worth a visit for its architectural beauty.,Saint Andrew's Cathedral,St Andrewâ€™s Cathedral- Singapore Architecture Landmark,2015-11-02T10:22:49.830+08:00,1.292,103.85231,11 St Andrew's Road,,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.,http://www.livingstreams.org.sg/sac/visitors.html,St Andrew's Cathedral is Singapore's largest cathedral and a stellar example of colonial-era architecture and heritage.,"Monday to Saturday, 9am â€“ 5pm",F104CE5D04DF4D5C,2018-06-19 17:52:43,103.85230999961,1.2920000003645
,,,,Kreta Ayer Square,,1.281198,103.8435853,Banda Street,050005,,,,,6A7E98EDC86C67B5,2018-06-19 17:52:43,103.843585299874,1.2811980001643
,,,,Albert Mall Trishaw Park,,1.2995489,103.8534848,Queen Street,188542,,,,,45D505D1EEA1778E,2018-06-19 17:52:43,103.853484799781,1.29954890040453
,,,,Chinatown Food Street,,1.2825533,103.8437924,Smith Street,058938,,,,,75321EDBF631A02B,2018-06-19 17:52:43,103.843792399605,1.28255329957829
www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/chinatown-heritage-centre.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinatown-heritage-centre-carousel01-rect.jpg,Learn more about local Chinese culture at the Singapore Chinatown Heritage Centre.,Joel Chua DY,"Chinatown Heritage Centre, Singapore",2015-11-02T10:16:52.847+08:00,1.284,103.84435,48 Pagoda Street,,Experience how Singaporeâ€™s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.,http://www.singaporechinatown.com.sg/,"At the Chinatown Heritage Centre, experience how Singaporeâ€™s early Chinese migrants once lived and learn more about local Chinese culture.","Daily, 9am â€“ 8pm,Last entry at 7pm.*Chinatown Heritage Centre will be closed for renovation from 1 October 2014 till end-2015.",7332216C5D293856,2018-06-19 17:52:43,103.844350000381,1.28399999981531
